Lịch ID,Fitness
1,4.2
2,4.6
3,5.0
4,4.2
5,4.6
6,4.6
7,5.0
8,4.2
9,5.4
10,4.2
11,4.2
12,4.6
13,3.4
14,3.8
15,3.8
16,4.6
17,3.8
18,3.8
19,4.2
20,5.8
21,4.2
22,4.2
23,4.2
24,3.4
25,3.4
26,3.0
27,5.0
28,5.4
29,5.0
30,3.3333333333333335
31,3.4
32,4.2
33,4.2
34,5.0
35,3.3333333333333335
36,5.8
37,4.6
38,3.0
39,2.6
40,5.0
41,4.6
42,4.2
43,3.0
44,5.8
45,3.0
46,3.0
47,4.6
48,3.8
49,2.6
50,5.0
51,5.4
52,3.4
53,5.0
54,5.0
55,3.0
56,3.0
57,3.8
58,3.4
59,5.0
60,4.6
61,4.0
62,4.6
63,4.6
64,3.8
65,5.0
66,3.8
67,5.0
68,5.0
69,4.2
70,5.4
71,3.4
72,4.6
73,5.0
74,3.8
75,2.6
76,4.6
77,4.6
78,4.6
79,3.8
80,4.2
81,3.4
82,4.2
83,3.4
84,5.8
85,5.0
86,4.2
87,2.3333333333333335
88,4.6
89,4.6
90,4.6
91,4.2
92,5.0
93,4.2
94,4.2
95,4.2
96,5.4
97,3.8
98,4.2
99,3.8
100,5.4
101,4.6
102,4.2
103,3.8
104,4.6
105,3.8
106,4.2
107,2.3333333333333335
108,4.2
109,4.2
110,5.0
111,4.2
112,3.8
113,3.0
114,4.2
115,2.6
116,4.2
117,4.6
118,4.6
119,3.8
120,3.8
121,3.8
122,4.2
123,6.2
124,3.4
125,3.8
126,3.8
127,5.4
128,2.2
129,5.0
130,3.4
131,4.6
132,3.0
133,3.4
134,3.0
135,3.8
136,3.6666666666666665
137,4.6
138,3.8
139,4.6
140,3.4
141,5.0
142,3.4
143,4.2
144,4.2
145,3.6666666666666665
146,5.0
147,5.8
148,4.2
149,5.4
150,3.0
151,3.4
152,3.3333333333333335
153,3.8
154,5.0
155,6.2
156,4.6
157,4.6
158,3.0
159,3.8
160,3.8
161,4.6
162,4.2
163,4.6
164,5.0
165,2.6
166,4.2
167,4.2
168,4.2
169,3.0
170,4.6
171,5.0
172,4.2
173,3.4
174,4.6
175,5.0
176,4.2
177,4.2
178,3.8
179,5.0
180,3.8
181,3.8
182,2.6666666666666665
183,4.2
184,5.0
185,3.8
186,3.8
187,3.8
188,3.4
189,2.6
190,4.6
191,3.4
192,4.6
193,3.0
194,3.8
195,3.4
196,3.8
197,4.2
198,4.2
199,4.2
200,2.2
201,4.6
202,1.0
203,3.0
204,3.8
205,4.6
206,4.333333333333333
207,2.6666666666666665
208,3.8
209,4.2
210,5.0
211,2.2
212,4.2
213,5.0
214,4.2
215,4.2
216,4.2
217,4.6
218,5.0
219,5.8
220,4.2
221,5.4
222,3.4
223,5.4
224,3.8
225,3.8
226,3.6666666666666665
227,4.2
228,3.8
229,5.4
230,5.0
231,3.4
232,3.8
233,3.8
234,3.4
235,3.8
236,4.6
237,3.4
238,5.0
239,3.8
240,5.0
241,3.0
242,3.4
243,1.8
244,3.4
245,2.6
246,6.2
247,5.0
248,4.6
249,6.2
250,4.6
251,3.0
252,3.8
253,6.2
254,5.0
255,5.8
256,2.6
257,5.0
258,3.6666666666666665
259,2.2
260,4.6
261,4.0
262,3.8
263,3.4
264,2.6
265,5.0
266,4.2
267,5.0
268,3.8
269,4.2
270,4.2
271,2.6
272,3.8
273,3.0
274,3.0
275,3.4
276,4.6
277,3.4
278,3.8
279,3.8
280,4.6
281,3.0
282,4.6
283,4.2
284,3.8
285,3.8
286,5.0
287,3.0
288,3.8
289,4.6
290,4.2
291,5.8
292,3.3333333333333335
293,6.2
294,4.6
295,4.6
296,2.2
297,5.0
298,3.4
299,4.2
300,3.4
301,3.0
302,4.2
303,5.4
304,3.8
305,4.6
306,3.4
307,3.0
308,4.6
309,3.8
310,4.6
311,4.2
312,4.2
313,2.6666666666666665
314,5.8
315,4.2
316,3.0
317,3.6666666666666665
318,2.2
319,4.6
320,4.2
321,2.2
322,3.8
323,3.0
324,4.0
325,5.0
326,4.6
327,3.4
328,4.2
329,4.2
330,2.6666666666666665
331,4.2
332,3.4
333,2.6
334,2.6
335,2.2
336,3.4
337,3.0
338,4.6
339,3.4
340,5.8
341,4.6
342,5.4
343,5.0
344,3.6666666666666665
345,3.8
346,4.2
347,3.3333333333333335
348,5.4
349,4.6
350,4.2
351,5.4
352,3.8
353,4.2
354,5.4
355,5.0
356,3.8
357,3.4
358,5.8
359,3.0
360,4.6
361,5.4
362,4.2
363,3.4
364,4.6
365,4.2
366,3.8
367,3.8
368,5.4
369,5.0
370,2.6
371,3.4
372,4.2
373,3.8
374,5.4
375,3.4
376,3.8
377,3.8
378,4.2
379,5.0
380,3.8
381,5.0
382,5.4
383,3.8
384,3.0
385,3.8
386,3.0
387,5.0
388,3.8
389,3.0
390,5.4
391,2.2
392,5.4
393,3.8
394,3.0
395,5.4
396,4.2
397,4.6
398,3.8
399,2.2
400,5.4
401,5.8
402,3.8
403,4.2
404,4.2
405,4.2
406,5.0
407,4.6
408,3.4
409,1.8
410,4.6
411,3.0
412,4.2
413,4.2
414,3.4
415,5.8
416,3.8
417,3.8
418,2.2
419,4.2
420,4.6
421,5.0
422,4.2
423,5.4
424,4.6
425,5.0
426,3.4
427,4.2
428,3.8
429,2.6666666666666665
430,5.8
431,3.4
432,5.0
433,4.2
434,3.8
435,5.8
436,3.0
437,5.0
438,4.6
439,5.0
440,4.6
441,5.0
442,4.2
443,4.2
444,3.4
445,4.2
446,5.0
447,5.4
448,4.6
449,4.2
450,3.8
451,3.8
452,5.0
453,4.6
454,3.8
455,5.8
456,3.4
457,2.2
458,5.4
459,4.333333333333333
460,3.4
461,4.666666666666667
462,4.6
463,4.6
464,3.0
465,3.3333333333333335
466,4.6
467,5.0
468,4.2
469,3.4
470,5.0
471,4.6
472,4.2
473,4.2
474,2.2
475,4.2
476,5.0
477,4.2
478,5.0
479,3.8
480,5.0
481,4.6
482,4.2
483,3.4
484,3.8
485,4.6
486,3.4
487,2.2
488,4.6
489,4.2
490,3.8
491,2.6
492,3.4
493,3.8
494,4.6
495,4.2
496,5.4
497,5.4
498,4.2
499,4.6
500,3.8
501,4.2
502,3.8
503,6.2
504,2.6666666666666665
505,5.0
506,3.0
507,3.4
508,4.2
509,4.2
510,3.8
511,4.6
512,5.0
513,3.6666666666666665
514,4.2
515,5.0
516,3.8
517,3.4
518,4.6
519,5.0
520,3.8
521,3.8
522,4.6
523,3.8
524,4.6
525,5.0
526,5.0
527,3.8
528,4.2
529,4.2
530,3.8
531,3.4
532,3.0
533,3.0
534,3.4
535,4.2
536,3.0
537,4.6
538,5.4
539,4.2
540,4.2
541,5.0
542,5.8
543,3.8
544,5.8
545,3.4
546,3.0
547,5.0
548,3.8
549,3.0
550,2.6666666666666665
551,3.4
552,5.0
553,3.8
554,3.8
555,3.8
556,5.0
557,4.2
558,4.2
559,2.6666666666666665
560,4.6
561,5.0
562,4.6
563,4.2
564,4.2
565,4.0
566,4.6
567,3.4
568,3.8
569,4.2
570,4.6
571,4.6
572,4.2
573,5.0
574,5.0
575,3.4
576,2.6
577,4.6
578,4.6
579,3.0
580,3.0
581,4.6
582,4.2
583,3.4
584,4.6
585,3.8
586,5.4
587,3.3333333333333335
588,4.2
589,3.8
590,3.3333333333333335
591,4.6
592,3.8
593,3.4
594,4.2
595,3.0
596,5.0
597,5.0
598,4.2
599,5.0
600,1.8
601,3.8
602,3.0
603,5.0
604,3.8
605,5.0
606,3.8
607,2.6
608,4.2
609,5.0
610,6.2
611,3.4
612,4.2
613,4.2
614,4.6
615,5.0
616,4.6
617,3.8
618,3.8
619,3.4
620,5.0
621,5.4
622,1.8
623,4.2
624,4.2
625,4.6
626,3.4
627,5.4
628,2.6
629,4.6
630,3.8
631,4.6
632,4.2
633,5.0
634,5.0
635,4.2
636,5.0
637,5.0
638,3.8
639,2.6
640,5.4
641,3.0
642,1.8
643,6.2
644,3.8
645,5.0
646,4.6
647,5.0
648,3.0
649,4.2
650,3.0
651,3.8
652,3.8
653,5.4
654,4.2
655,4.2
656,3.8
657,3.0
658,1.4
659,5.4
660,3.0
661,3.4
662,3.8
663,4.2
664,3.4
665,3.4
666,4.2
667,4.2
668,4.2
669,3.8
670,4.2
671,4.2
672,3.8
673,4.2
674,3.8
675,4.2
676,4.2
677,4.2
678,4.2
679,5.0
680,4.2
681,3.4
682,2.6
683,4.6
684,3.4
685,5.4
686,6.2
687,5.0
688,4.2
689,3.4
690,3.8
691,4.6
692,4.2
693,3.4
694,4.2
695,5.4
696,2.6
697,3.4
698,4.2
699,5.4
700,3.4
701,3.4
702,4.6
703,4.6
704,3.8
705,5.4
706,3.8
707,4.6
708,5.0
709,3.0
710,2.0
711,4.333333333333333
712,2.6
713,5.0
714,3.8
715,4.2
716,4.6
717,5.8
718,4.6
719,4.6
720,3.8
721,3.8
722,4.6
723,5.0
724,5.4
725,3.4
726,3.0
727,4.6
728,3.8
729,4.6
730,4.2
731,4.6
732,4.2
733,3.4
734,5.4
735,4.0
736,4.6
737,4.6
738,5.0
739,5.4
740,2.6
741,5.0
742,2.6
743,4.6
744,2.6
745,5.0
746,4.2
747,5.8
748,5.0
749,4.2
750,3.4
751,2.6
752,4.6
753,3.0
754,5.8
755,3.0
756,4.2
757,4.2
758,4.2
759,2.6
760,5.4
761,3.4
762,3.4
763,4.2
764,4.6
765,3.0
766,3.8
767,4.2
768,3.8
769,3.4
770,4.6
771,4.2
772,3.4
773,5.8
774,4.2
775,4.6
776,5.0
777,4.6
778,3.3333333333333335
779,3.8
780,5.4
781,2.6
782,3.0
783,3.8
784,5.0
785,5.0
786,4.2
787,3.0
788,5.8
789,4.2
790,4.6
791,3.8
792,4.2
793,3.4
794,3.4
795,3.4
796,5.0
797,4.6
798,3.8
799,5.0
800,3.8
801,3.0
802,3.0
803,4.2
804,3.4
805,3.4
806,3.4
807,2.6666666666666665
808,4.2
809,3.0
810,3.4
811,5.0
812,3.4
813,6.2
814,3.8
815,3.4
816,4.6
817,3.4
818,4.2
819,3.6666666666666665
820,4.2
821,3.0
822,4.6
823,3.4
824,4.6
825,3.4
826,4.2
827,3.8
828,5.4
829,5.0
830,5.0
831,2.6666666666666665
832,4.6
833,3.0
834,3.8
835,4.6
836,4.2
837,4.6
838,3.8
839,5.4
840,5.0
841,2.2
842,5.0
843,2.6666666666666665
844,4.2
845,4.2
846,4.6
847,4.333333333333333
848,3.4
849,4.6
850,3.8
851,3.4
852,5.0
853,4.6
854,5.0
855,5.0
856,3.4
857,4.2
858,3.8
859,3.8
860,2.3333333333333335
861,3.8
862,5.4
863,5.4
864,3.8
865,3.8
866,4.6
867,4.0
868,4.2
869,3.4
870,4.6
871,5.4
872,4.2
873,4.6
874,4.2
875,2.6
876,3.0
877,5.0
878,5.4
879,4.2
880,3.0
881,3.8
882,4.6
883,4.6
884,3.8
885,3.8
886,2.6
887,4.2
888,3.4
889,5.4
890,3.4
891,3.4
892,4.6
893,4.6
894,4.2
895,4.6
896,4.2
897,4.2
898,3.4
899,3.4
900,4.2
901,4.6
902,4.2
903,3.8
904,3.8
905,6.2
906,3.8
907,4.6
908,4.2
909,3.4
910,3.8
911,3.8
912,2.6
913,4.2
914,3.0
915,4.2
916,3.8
917,4.2
918,4.6
919,3.8
920,4.2
921,4.6
922,4.2
923,4.6
924,3.4
925,4.6
926,2.6
927,3.8
928,3.0
929,3.8
930,4.2
931,4.2
932,4.666666666666667
933,3.8
934,5.0
935,4.6
936,4.2
937,2.6
938,5.0
939,4.2
940,3.8
941,4.2
942,4.2
943,5.0
944,4.2
945,5.4
946,2.2
947,4.2
948,4.6
949,4.6
950,5.4
951,2.2
952,3.8
953,5.0
954,3.8
955,2.6
956,4.2
957,4.2
958,3.0
959,4.6
960,3.8
961,5.4
962,4.6
963,3.0
964,4.2
965,2.6
966,2.6
967,3.4
968,3.8
969,3.4
970,4.6
971,4.2
972,4.2
973,5.0
974,4.2
975,3.0
976,3.4
977,4.6
978,5.0
979,4.2
980,3.4
981,4.6
982,2.6
983,3.8
984,5.0
985,4.2
986,4.6
987,3.3333333333333335
988,3.4
989,4.2
990,3.8
991,4.2
992,4.2
993,5.0
994,5.0
995,4.6
996,5.4
997,2.6666666666666665
998,3.8
999,4.6
1000,5.8
1001,4.2
1002,3.0
1003,5.0
1004,3.0
1005,3.8
1006,4.2
1007,3.3333333333333335
1008,2.3333333333333335
1009,3.4
1010,4.2
1011,3.8
1012,2.6666666666666665
1013,4.0
1014,4.2
1015,2.6
1016,5.0
1017,4.2
1018,4.6
1019,5.4
1020,4.6
1021,3.0
1022,4.2
1023,5.0
1024,2.6
1025,3.4
1026,3.8
1027,4.2
1028,4.6
1029,4.6
1030,3.4
1031,3.8
1032,5.0
1033,2.2
1034,3.4
1035,2.6
1036,4.6
1037,2.6
1038,5.0
1039,4.6
1040,3.4
1041,4.6
1042,5.0
1043,3.8
1044,3.8
1045,4.6
1046,5.4
1047,4.2
1048,3.4
1049,3.0
1050,4.6
1051,4.6
1052,5.4
1053,3.8
1054,4.2
1055,3.8
1056,4.2
1057,3.0
1058,4.2
1059,2.6
1060,3.4
1061,3.4
1062,4.2
1063,3.8
1064,3.0
1065,4.2
1066,5.0
1067,4.6
1068,5.0
1069,2.6
1070,5.0
1071,4.6
1072,3.8
1073,3.8
1074,3.8
1075,3.4
1076,3.8
1077,4.2
1078,4.6
1079,3.8
1080,3.0
1081,3.4
1082,4.2
1083,3.8
1084,4.6
1085,4.0
1086,5.0
1087,6.2
1088,4.2
1089,3.8
1090,4.2
1091,5.0
1092,4.6
1093,4.2
1094,4.6
1095,5.0
1096,5.0
1097,3.8
1098,4.2
1099,4.6
1100,4.2
1101,3.4
1102,4.6
1103,2.6
1104,3.4
1105,4.6
1106,3.8
1107,4.6
1108,3.4
1109,3.4
1110,3.4
1111,3.0
1112,3.0
1113,5.4
1114,5.8
1115,4.6
1116,4.6
1117,4.6
1118,4.6
1119,4.333333333333333
1120,3.0
1121,3.4
1122,5.0
1123,3.8
1124,4.6
1125,3.8
1126,3.8
1127,4.2
1128,3.0
1129,4.6
1130,3.0
1131,5.4
1132,3.8
1133,5.0
1134,4.2
1135,4.2
1136,3.4
1137,4.0
1138,4.2
1139,4.2
1140,4.2
1141,2.6
1142,3.4
1143,2.3333333333333335
1144,4.2
1145,4.6
1146,2.3333333333333335
1147,5.0
1148,3.4
1149,5.0
1150,3.4
1151,4.6
1152,3.4
1153,5.4
1154,5.4
1155,4.6
1156,3.4
1157,4.2
1158,3.8
1159,4.6
1160,3.3333333333333335
1161,3.4
1162,2.6
1163,4.333333333333333
1164,3.4
1165,3.0
1166,2.2
1167,4.6
1168,4.6
1169,3.4
1170,4.2
1171,4.2
1172,5.8
1173,4.2
1174,3.0
1175,3.4
1176,4.6
1177,5.0
1178,4.2
1179,3.4
1180,5.8
1181,4.2
1182,5.0
1183,4.2
1184,3.8
1185,5.4
1186,5.0
1187,4.6
1188,4.2
1189,5.0
1190,4.2
1191,3.4
1192,3.6666666666666665
1193,5.8
1194,5.0
1195,4.6
1196,4.2
1197,5.4
1198,5.4
1199,4.2
1200,3.8
1201,3.4
